	GSM1389613	GSM1389614	GSM1389615	GSM1389616	GSM1389617	GSM1389618	GSM1389619	GSM1389620
PPP4C	7.07781228353779	7.27848582198272	7.11887381487236	7.43342983927897	7.32661180157999	8.11143360776012	8.61369857954894	8.06632899394768
MIS18BP1	6.89047665014139	7.29369015608209	6.76325692816961	7.6866094554062	6.99810734412496	5.62912657630607	4.96375993779209	5.87478138963392
TMEM74B	6.70172391299831	6.68150248771749	6.80245313009313	6.67061764415275	6.77553555017394	6.22410867858754	6.18177539557573	6.26395759442246
C5orf22	6.46626351349053	6.66397886874707	6.63774208956041	6.80653669648506	6.6751172637419	7.52869995269207	7.92591519660593	7.45329233249787
LARP6	7.12237536061934	7.1587527275685	7.03631826768796	7.16844468975773	7.04634522748372	7.78788297819253	7.98010297599286	7.64334977155468
ABCF3	7.11713055491132	7.23322286397773	7.23925320436737	7.28427128708405	7.1868013014609	7.82392199509041	8.08146248648892	7.70821096191395
UFSP2	8.41747969035582	8.5724639016068	8.53823763654409	8.58952138473587	8.44773066217176	9.39057891218917	9.64309661237523	9.18553525660805
AGPAT5	7.64932049593637	7.85743931966338	7.81959913736991	7.99162896808159	7.97751205576049	8.31749064432638	8.71657821572479	8.29249333867447
LIN7C	7.11978121475868	7.3162330484685	6.76816026947383	7.53970089868807	7.02826776047676	7.52492280938943	7.43546889723844	7.74343802941657
RNLS	5.83520289697811	5.82471754109252	5.8081632067597	5.813062261937	5.79931725685383	5.85324720347548	5.84721107935631	5.835734204397
MNS1	5.89037589054191	5.94986023795864	5.86932061328362	6.02329761235215	6.07733120783807	5.78244504370357	5.92804774340496	5.91088594950569
PPP3CB	8.69176568382318	8.78098265946674	8.66011197733409	8.75290651222403	8.61705848619594	9.52089398982156	9.68379030471895	9.31041693138104
DRAM1	7.64691885953356	7.93301871721858	7.78327095456635	8.11088325947865	8.04377409038006	8.6489116127861	9.21050304659319	8.65252495708324
SLC39A9	5.96064478336595	6.00588812956418	5.94819321832746	6.0247229071032	5.92165740680477	6.50153414809341	6.61973299413691	6.41272328310364
NIPSNAP3B	5.84143417292477	6.01469672614052	6.24608472680365	6.1092831259771	6.12949437472105	6.06866256384064	6.24712753250007	6.10859791759658
FBXL8	5.87939278291915	5.77275413207145	5.79944369781234	5.70545711448097	5.79104610317787	5.2648627151534	5.07124353041095	5.3042122119112
C19orf66	6.39022483159059	6.61905722413034	6.48062651664848	6.75580131006507	6.52902144768579	7.83969383687329	8.32036921708431	7.72609604755511
PPP3CC	7.44713345202723	7.27475828033197	7.22450532932521	7.10932930668133	7.15087886198936	7.56459298857477	7.31258916387997	7.35694392323812
LSG1	6.99777317658775	7.21178587649766	7.29054604186386	7.34797623616484	7.30120101499278	7.72279125707861	8.11393263320168	7.69161791698391
SLC35C1	6.76442357578187	6.74615069114429	6.72226985099481	6.73626813072367	6.71515346510078	6.86375657668508	6.90405101389737	6.79905835756383
PLCXD1	6.69325182787253	6.71171222066463	6.7102749147197	6.73342422204649	6.71365416430325	6.88175550031929	6.97324080924894	6.82874173796241
TCP11L1	6.00853456268186	6.01075682263921	5.94336833958749	6.01954978493445	5.98274771977107	6.19635795977126	6.24896052715809	6.16609573441852
ABHD10	8.4847834593143	8.72065551666357	8.6772280805442	8.80970406008955	8.71417978145084	9.48898054628996	9.87198530012389	9.36467759532864
PPP3R1	7.71774208949803	7.65650543735918	7.77930953627689	7.57203011976932	7.74918041737883	6.81804178545873	6.62603781118785	6.85910644268963
VNN3	5.53640684694851	5.49552726790988	5.51294520322493	5.46150451233111	5.46085963744456	5.43965015867227	5.3675760840096	5.40521595576176
STK32B	6.21694936985029	6.31825924609131	6.07396136411029	6.39578348316009	6.21883822759624	7.2256217684764	7.54189909886222	7.13818191002588
LAPTM4B	7.30407811103466	7.58602878467967	7.29690543874665	7.73881939388972	7.31907558399019	9.79327499170309	10.5027687210261	9.46806271059806
HJURP	5.99591262809186	6.01313511483254	6.00077270456941	6.09085320967	6.21944260058911	5.5971273060509	5.6680478364931	5.74157865367474
TBC1D2	6.25283863604821	6.28170190507783	6.32335734504297	6.3503203392272	6.47522944700973	5.8549811704067	5.92757764807893	5.98334841066929
STYK1	6.91442073872257	6.72893564222078	6.96753382970166	6.59852398481815	6.91427515165005	5.16397008615041	4.75668635145706	5.30951276702195
PI4K2A	6.98699476976001	6.95569631940299	6.90787140686221	6.93259051558019	6.90894135561618	7.09527211138416	7.14008169333111	7.0107638856451
IMPACT	8.11630856087129	8.13939926172754	8.25794577258144	8.084983376187	8.13814920201527	7.94943016722601	7.90165302845225	7.86077529259129
TMEM176A	7.0582659416096	7.52892995857036	7.20699846169493	7.87299129997887	7.57412639102858	9.52894345536079	10.5768561894547	9.44333955242556
LGR4	7.86113822797299	8.57064120478868	8.32865462320768	9.05710945579959	8.55330082127621	8.99037915004838	8.10987627283332	8.49803532722621
PIDD1	6.65319527824733	6.52209130739694	6.42516425373246	6.4172350743073	6.33973015486084	6.71281343857724	6.57728725695622	6.56372929672511
PPP5C	6.34466714395397	6.37810505666334	6.47782891440903	6.38708026738605	6.37244079444669	6.46806347347694	6.49910458741639	6.42397757602813
TMCO6	6.79851162817465	6.89255314991507	6.91539460962073	6.93348136873774	6.8818209368114	7.1933492442325	7.39022912344758	7.14380901333631
LRRC59	5.79244080767625	6.2285937493405	5.88482669315524	6.53726627831379	6.13587454654983	8.55522051511742	9.50636443910254	8.388888073694
PPP6C	8.67638868495019	8.69780993592344	8.73990058787134	8.67749286736692	8.46011269224669	9.7078389757119	9.70874011651971	9.02046025567923
MEG3	5.90548653615787	5.84747380676853	5.92811183232105	5.79995752493847	5.85573224461695	5.51194718037946	5.37504684579896	5.52159389823298
MCM10	5.31302182508892	5.31637319329456	5.38162610773322	5.36985470532897	5.54390334858338	4.62027903820065	4.60355134539333	4.80218299148521
PPT1	9.98642061891218	10.1459372720726	10.040440858105	10.2175465466684	10.0913837965088	10.8681262128118	11.0366547204991	10.7208259062158
PPY	5.90971955751967	5.76050104886309	5.77383880022317	5.64599312510449	5.67421097347301	5.4390558057616	5.18172615662978	5.38981606660774
AVPR1B	6.9663298499617	7.0855681932813	7.11415003873932	7.17370892810867	7.08848284339369	7.71083685931259	8.06904726486952	7.64385993296318
