ID	Symbol	SPOT_ID	ENTREZ_GENE_ID
100505641_at	FGD5-AS1	FGD5 antisense RNA 1	100505641
100505664_at	LOC100505664	uncharacterized LOC100505664	100505664
100505687_at	LINC00888	long intergenic non-protein coding RNA 888	100505687
100505696_at	SH3BP5-AS1	SH3BP5 antisense RNA 1	100505696
100505711_at	LOC100505711	uncharacterized LOC100505711	100505711
100505715_at	LOC100505715	uncharacterized LOC100505715	100505715
100505738_at	MIR4458HG	MIR4458 host gene	100505738
100505746_at	ITGB2-AS1	ITGB2 antisense RNA 1	100505746
100505761_at	RPARP-AS1	RPARP antisense RNA 1	100505761
100505774_at	LOC100505774	uncharacterized LOC100505774	100505774
100505783_at	OSER1-AS1	OSER1 antisense RNA 1 (head to head)	100505783
100505806_at	SNHG18	small nucleolar RNA host gene 18	100505806
100505812_at	CARD8-AS1	CARD8 antisense RNA 1	100505812
100505826_at	STK4-AS1	STK4 antisense RNA 1 (head to head)	100505826
100505854_at	APTR	Alu-mediated CDKN1A/p21 transcriptional regulator (non-protein coding)	100505854
100505876_at	CEBPZOS	CEBPZ opposite strand	100505876
100505881_at	MAGI2-AS3	MAGI2 antisense RNA 3	100505881
100505894_at	TMEM161B-AS1	TMEM161B antisense RNA 1	100505894
100506014_at	LOC100506014	uncharacterized LOC100506014	100506014
100506022_at	LOC100506022	uncharacterized LOC100506022	100506022
100506054_at	RNASEH1-AS1	RNASEH1 antisense RNA 1	100506054
100506100_at	LOC100506100	uncharacterized LOC100506100	100506100
100506119_at	LINC01503	long intergenic non-protein coding RNA 1503	100506119
100506144_at	TMEM35B	transmembrane protein 35B	100506144
100506233_at	RAB30-AS1	RAB30 antisense RNA 1 (head to head)	100506233
100506243_at	KRBOX1	KRAB box domain containing 1	100506243
100506311_at	HOTAIRM1	"HOXA transcript antisense RNA, myeloid-specific 1"	100506311
100506319_at	LOC100506319	uncharacterized LOC100506319	100506319
100506365_at	OTUD6B-AS1	OTUD6B antisense RNA 1 (head to head)	100506365
100506380_at	LINC01006	long intergenic non-protein coding RNA 1006	100506380
100506388_at	LOC100506388	uncharacterized LOC100506388	100506388
100506428_at	CBR3-AS1	CBR3 antisense RNA 1	100506428
100506443_at	ITPKB-IT1	ITPKB intronic transcript 1	100506443
100506469_at	TMEM147-AS1	TMEM147 antisense RNA 1	100506469
100506473_at	LOC100506473	uncharacterized LOC100506473	100506473
100506504_at	LOC100506504	uncharacterized LOC100506504	100506504
100506548_at	LOC100506548	uncharacterized LOC100506548	100506548
100506571_at	LOC100506571	uncharacterized LOC100506571	100506571
100506581_at	C16orf95	chromosome 16 open reading frame 95	100506581
100506603_at	LOC100506603	uncharacterized LOC100506603	100506603
100506649_at	PXN-AS1	PXN antisense RNA 1	100506649
100506668_at	NRAV	negative regulator of antiviral response (non-protein coding)	100506668
100506675_at	LOC100506675	uncharacterized LOC100506675	100506675
100506686_at	IQCH-AS1	IQCH antisense RNA 1	100506686
100506691_at	LOC100506691	uncharacterized LOC100506691	100506691
100506710_at	EBLN3	endogenous Bornavirus-like nucleoprotein 3	100506710
100506714_at	NUP50-AS1	NUP50 antisense RNA 1 (head to head)	100506714
100506725_at	LOC100506725	uncharacterized LOC100506725	100506725
100506730_at	LOC100506730	uncharacterized LOC100506730	100506730
100506755_at	MIR497HG	mir-497-195 cluster host gene	100506755
100506783_at	HOXD-AS2	HOXD cluster antisense RNA 2	100506783
100506791_at	LINC01511	long intergenic non-protein coding RNA 1511	100506791
100506826_at	MYLK-AS1	MYLK antisense RNA 1	100506826
100506844_at	LOC100506844	uncharacterized LOC100506844	100506844
100506963_at	TCEB3-AS1	TCEB3 antisense RNA 1	100506963
100507006_at	LOC100507006	uncharacterized LOC100507006	100507006
100507054_at	LOC100507054	uncharacterized LOC100507054	100507054
100507057_at	MFI2-AS1	MFI2 antisense RNA 1	100507057
100507098_at	ADAMTS9-AS2	ADAMTS9 antisense RNA 2	100507098
100507171_at	BOLA3-AS1	BOLA3 antisense RNA 1 (head to head)	100507171
100507217_at	LINC01578	long intergenic non-protein coding RNA 1578	100507217
100507246_at	SNHG16	small nucleolar RNA host gene 16	100507246
100507290_at	ZNF865	zinc finger protein 865	100507290
100507303_at	SNHG19	small nucleolar RNA host gene 19	100507303
100507331_at	ZSWIM8-AS1	ZSWIM8 antisense RNA 1	100507331
100507392_at	SENCR	smooth muscle and endothelial cell enriched migration/differentiation-associated long non-coding RNA	100507392
100507421_at	TMEM178B	transmembrane protein 178B	100507421
100507424_at	LOC100507424	uncharacterized LOC100507424	100507424
100507436_at	MICA	MHC class I polypeptide-related sequence A	100507436
100507459_at	NRSN2-AS1	NRSN2 antisense RNA 1	100507459
100507463_at	PSMB8-AS1	PSMB8 antisense RNA 1 (head to head)	100507463
100507501_at	LINC01569	long intergenic non-protein coding RNA 1569	100507501
100507507_at	LOC100507507	uncharacterized LOC100507507	100507507
100507520_at	LOC100507520	uncharacterized LOC100507520	100507520
100507524_at	ARHGEF26-AS1	ARHGEF26 antisense RNA 1	100507524
100507540_at	LINC01504	long intergenic non-protein coding RNA 1504	100507540
100507547_at	LOC100507547	uncharacterized LOC100507547	100507547
100507557_at	LOC100507557	uncharacterized LOC100507557	100507557
100507567_at	RAB11B-AS1	RAB11B antisense RNA 1	100507567
100507577_at	LOC100507577	uncharacterized LOC100507577	100507577
100507599_at	LOC100507599	uncharacterized LOC100507599	100507599
100507602_at	TRIM52-AS1	TRIM52 antisense RNA 1 (head to head)	100507602
100507650_at	RNF212B	ring finger protein 212B	100507650
