	GSM2810793	GSM2810794	GSM2810795	GSM2810796	GSM2810797	GSM2810798	GSM2810799	GSM2810800	GSM2810801	GSM2810802	GSM2810803	GSM2810804	GSM2810805	GSM2810806	GSM2810807	GSM2810808	GSM2810809	GSM2810810	GSM2810816	GSM2810817	GSM2810818	GSM2810819	GSM2810820	GSM2810821	GSM2810822	GSM2810823	GSM2810824	GSM2810825	GSM2810826	GSM2810827	GSM2810828	GSM2810829	GSM2810830	GSM2810831	GSM2810832	GSM2810833	GSM2810834	GSM2810835	GSM2810836	GSM2810837
TOPORS-AS1	8.48724270455596	8.22486036613399	8.43349255618047	8.20812637161175	8.10779186066103	8.25714778392819	8.14553212568734	8.32811154864496	8.43109276595559	8.17959957884455	8.28864376257259	8.45000817362509	8.265683006787	8.40998757403998	8.1772431274275	8.16407502141011	8.24013558117098	8.28458305731273	8.15973277124307	7.98816088423677	8.04774519301617	7.87007184149682	8.22532921313692	8.0409452072233	8.01702387774129	8.29493172623276	7.90309155149432	7.87663301482642	8.09001437349892	8.2381543297282	8.36357433080454	8.3342522912631	7.86642505828522	8.25602163392461	8.24092593046302	8.08136232772192	8.07311290570552	7.98201509530036	8.26465003170841	8.11691902617459
C1orf68	5.76844582483904	5.62796489217294	5.79611186687539	5.77884458553029	5.30271334632398	5.67023784017818	5.60614173813076	5.58435201033436	5.57675138380756	5.79594704241196	6.10296806104932	5.70660129610437	5.53510434230292	5.68328316313823	5.73752498437805	5.09453081680004	5.91853036257648	5.52032026390822	5.46985168347871	5.37353395468416	5.30390444448712	5.50197094901306	5.37558718890225	5.27898734138492	5.44636123875143	5.45078499949182	5.51210857514225	5.5324415726455	5.26539817170216	5.44072549992975	5.5659163016751	5.49810148181964	5.34017006741943	5.91985750636974	5.66359328869046	5.47009657800153	5.26812073649883	5.43141895677644	5.98944986290373	5.41267204772279
DPY19L1P1	5.09677243327222	5.25610143705844	4.57915374135935	5.00826071488505	5.3349563017852	5.18216201586965	5.14911072274796	5.23866648449774	5.10344897986343	5.35185181599505	5.34177746107093	5.06962943116346	5.20907501670261	4.98196508205969	5.166040270403	5.12681398483088	5.43349204725068	5.39612457956241	5.16475090156962	5.40542959071873	4.88904025292603	5.1235202714958	5.59417599887468	4.88132912597583	5.25262290001654	5.20113877118966	4.81839346503737	4.87249420328213	5.14282355650644	4.71076049594489	4.78636554637987	4.9618137485775	5.09929924623735	5.15172693527684	4.79557540242684	5.43333257632742	5.04724197888589	5.27081872765239	5.20383261082722	4.87400672857239
ZNF37BP	5.60601195285749	5.7610782301197	4.97633312512086	5.32433073602722	5.38986382142921	5.99423700632829	5.59909076014755	5.25475428026465	5.41608420664226	5.72742309418984	6.16291320559886	5.37745061374318	5.3485114570644	5.31321110001987	5.77734318410358	5.81042097956562	5.92804762132993	5.56268940711666	5.49701034756774	5.56209068739108	5.46076386529137	5.46686623653528	5.80505540581617	5.29629605858016	5.80976262305798	5.37118028413255	5.54443251746646	5.32737483956255	5.35233015806688	5.650458547693	5.27133489886553	5.14898621168939	5.38651962980693	5.46609347267064	5.59258729300654	5.86939774461807	5.21029059580248	5.64139130595345	5.89163989111351	5.34441951688336
LOC100129973	4.39557423431374	4.5860401087349	4.24250078181779	4.60201067685526	4.66970577929884	4.59506731612703	4.67482007644665	4.79278956166845	4.15558533234445	4.60549462187393	4.56732127563315	4.78279178001856	4.22222766537536	4.22952341135952	4.37079257124001	4.33030563027102	4.6767621026803	4.85599850500213	4.18839942676286	4.15164367297867	3.97807760066204	4.32761439498159	4.10534206639872	4.21397467091843	4.37881203308215	4.22414532397108	4.38606833640193	4.14556831810664	4.14549055155701	4.70164129530639	3.9287423057366	3.83188718331833	4.05068174784905	4.11268358158084	3.79824481775259	4.24202361697462	4.17502251900202	4.0546132672682	4.22110187781043	4.03577601763287
LOC100130331	4.58517858839029	5.01269203309012	4.87377548561908	5.04841547669432	4.95273820253105	4.85670153286501	4.95182668596407	5.10232844277781	4.7209459640134	5.07840943726103	5.02345538973668	4.95425551319476	4.85744846304253	4.92068700966389	5.00652237610819	5.12371227253114	5.15715506820367	5.05488489592699	4.66927734172895	4.79935644554092	4.39812578946787	5.06345072245986	4.74325209399958	4.71884922834804	4.87102398394682	5.20407475517359	4.87593906929641	4.92740299638209	4.76954438304135	4.69705258326203	4.78483005390612	4.42192958532425	4.57413263105469	4.91137307068694	4.60756644046289	5.01207109079212	5.0018142216568	5.00221336893103	5.0928304000142	4.65373171132686
PP14571	4.90581239419895	5.70352019305013	4.91015887335446	5.09426458685109	5.5414194234378	5.00024860657215	5.5247507696214	4.69437159801021	4.53304143983302	5.04291435833412	5.14245572709155	5.12093323790144	4.92547462597947	5.17101933857	5.19334637507944	5.09025113190621	5.27265907618018	5.28395826647862	4.95984255306273	4.70364831780409	4.08385118071531	5.26001328301294	4.80286298105837	4.7389481327571	5.05359480522867	4.87618126411974	4.8618651622751	4.75154256040613	4.4624017398215	4.7331088910975	4.05933509011423	4.08766312867953	4.46358650658277	4.8987758833927	4.43723693867058	4.74152035822467	4.88410845411739	4.53326369448132	4.67514895255992	4.4639462649324
LOC100131532	5.72899334016614	5.83923334450373	6.06481564302641	5.82508780496872	5.84812164330446	5.63033179463339	5.88472562835902	5.87017891750475	5.96129163990326	5.62278268263406	5.8674887591115	5.97380696370606	5.83601662873232	6.16637925728302	5.89279507493983	5.85375388235604	6.13555380095177	6.05654088249402	5.69452930001751	5.72270957369211	5.61654473234232	5.89125191182051	5.8101700450671	6.05375236106759	5.8536428776072	5.4801129283551	5.69217094612456	5.82216850607748	5.48086307418123	5.61154718279608	5.7690260105796	5.51995118774707	5.86865937720433	5.5000008958245	6.02301734929845	5.90025836511725	6.06408951592375	5.78266657095747	5.66763818898273	5.85831301245151
ARMCX4	5.23351464956419	5.46200090022829	5.37233673777243	5.28801148368661	5.58637787386637	5.46770799529136	5.53256522543434	5.35464197539969	5.29071385343703	5.63723930204623	5.46902354690193	5.31271577671991	5.5047798862346	5.33573082874269	5.43345947074628	5.5405077957189	5.59614839785678	5.48921761186965	5.10997798184788	5.35787639782767	5.20141140102075	5.43566491058717	5.36234963507113	5.30361383749059	5.42265201749591	5.34563075702455	5.09901619701281	5.2327144888022	5.19056874298534	5.04251130171428	5.14197372355911	4.99574290869363	5.31610260490134	5.64261486764582	5.27561604306407	5.43117087857273	5.23789546763218	5.45440468992726	5.41519059985426	4.9451828476776
CADM3-AS1	5.7018663171007	5.63352479916212	5.74104741191581	5.86850346143847	5.62802458580846	5.69064783781371	5.87491566067898	5.66140901921864	5.68029522105202	5.93920962353194	6.0333595316633	6.0483814058595	6.01332416109362	5.92379034612688	5.7937065657548	5.85614356664919	5.75454911087788	5.6172433432572	5.32616956919556	5.36740109264177	5.30194262163048	5.74110546065389	5.56546017696647	5.50748556096904	5.72645598023433	5.4906210853589	5.66826072831272	5.93074020914308	5.73243437853187	5.57895514636737	5.75292763449491	5.46825431345663	5.6436862380406	6.01615968827983	5.86600179935772	5.65180404159066	5.79283898567588	5.44601359388011	5.72640045720943	5.71002020068347
